3084
1, 2
1, 3
1, 4
1, 5
1, 6
1, 7
1, 8
1, 10
1, 11
1, 12
1, 13
1, 17
1, 18
1, 20
1, 21
1, 22
1, 23
1, 24
1, 25
1, 26
1, 27
1, 28
1, 29
1, 30
1, 31
1, 32
1, 33
1, 35
1, 36
1, 37
1, 38
1, 40
1, 41
1, 44
1, 45
1, 46
1, 47
1, 48
1, 49
1, 50
2, 1
2, 3
2, 4
2, 5
2, 7
2, 8
2, 9
2, 10
2, 12
2, 13
2, 14
2, 18
2, 21
2, 24
2, 25
2, 26
2, 27
2, 28
2, 29
2, 30
2, 31
2, 32
2, 35
2, 36
2, 38
2, 39
2, 40
2, 41
2, 43
2, 44
2, 46
2, 48
2, 50
3, 1
3, 2
3, 4
3, 5
3, 7
3, 8
3, 9
3, 10
3, 12
3, 13
3, 14
3, 18
3, 22
3, 23
3, 24
3, 25
3, 26
3, 27
3, 28
3, 29
3, 30
3, 31
3, 35
3, 36
3, 38
3, 39
3, 40
3, 41
3, 43
3, 44
3, 46
3, 48
3, 50
4, 1
4, 2
4, 3
4, 5
4, 7
4, 8
4, 9
4, 10
4, 12
4, 13
4, 14
4, 18
4, 23
4, 24
4, 25
4, 26
4, 27
4, 29
4, 30
4, 31
4, 35
4, 36
4, 38
4, 39
4, 40
4, 41
4, 43
4, 44
4, 46
4, 48
4, 50
5, 1
5, 2
5, 3
5, 4
5, 6
5, 7
5, 8
5, 10
5, 11
5, 12
5, 13
5, 17
5, 18
5, 20
5, 21
5, 22
5, 23
5, 24
5, 25
5, 26
5, 27
5, 28
5, 29
5, 30
5, 31
5, 32
5, 33
5, 35
5, 36
5, 37
5, 38
5, 40
5, 41
5, 44
5, 45
5, 46
5, 47
5, 48
5, 49
5, 50
6, 1
6, 5
6, 8
6, 11
6, 15
6, 16
6, 17
6, 18
6, 19
6, 20
6, 21
6, 22
6, 24
6, 27
6, 28
6, 29
6, 32
6, 33
6, 34
6, 37
6, 40
6, 41
6, 44
6, 45
6, 47
6, 49
7, 1
7, 2
7, 3
7, 4
7, 5
7, 8
7, 9
7, 10
7, 12
7, 13
7, 14
7, 18
7, 20
7, 22
7, 23
7, 24
7, 25
7, 26
7, 27
7, 28
7, 29
7, 30
7, 31
7, 35
7, 36
7, 38
7, 39
7, 40
7, 41
7, 43
7, 44
7, 46
7, 47
7, 48
7, 50
8, 1
8, 2
8, 3
8, 4
8, 5
8, 6
8, 7
8, 10
8, 11
8, 12
8, 13
8, 17
8, 18
8, 20
8, 21
8, 22
8, 23
8, 24
8, 25
8, 26
8, 27
8, 28
8, 29
8, 30
8, 31
8, 32
8, 35
8, 36
8, 37
8, 38
8, 40
8, 41
8, 43
8, 44
8, 45
8, 46
8, 47
8, 48
8, 49
8, 50
9, 2
9, 3
9, 4
9, 7
9, 10
9, 12
9, 13
9, 14
9, 26
9, 30
9, 31
9, 35
9, 36
9, 38
9, 39
9, 42
9, 43
9, 46
9, 48
10, 1
10, 2
10, 3
10, 4
10, 5
10, 7
10, 8
10, 9
10, 12
10, 13
10, 18
10, 21
10, 22
10, 24
10, 25
10, 26
10, 27
10, 28
10, 29
10, 30
10, 31
10, 32
10, 35
10, 36
10, 38
10, 39
10, 40
10, 41
10, 43
10, 44
10, 46
10, 48
10, 50
11, 1
11, 5
11, 6
11, 8
11, 12
11, 15
11, 17
11, 18
11, 19
11, 20
11, 21
11, 22
11, 24
11, 27
11, 28
11, 29
11, 32
11, 33
11, 34
